ID,Condition,Group,Expectation,Instructions,Trial,Y_axis,X_axis,Radial.Error,Constant_X,Constant_Y,BVE
1,lp,TCE,Teach,Explicit,6,-15.184,-18.485,23.92172822,-18.485,-15.184,86.63020505
1,lp,TCE,Teach,Explicit,7,61.081,-11.07,62.07602968,-11.07,61.081,5538.576782
1,lp,TCE,Teach,Explicit,8,-62.692,18.487,65.3609672,18.487,-62.692,3213.264235
1,lp,TCE,Teach,Explicit,9,3.483,-14.586,14.99608899,-14.586,3.483,309.6282649
1,lp,TCE,Teach,Explicit,10,-21.075,13.208,24.87180912,13.208,-21.075,569.6994117
2,pt,TTA,Test,Analogy,1,129,19,130.3917175,19,129,27565.18636
2,pt,TTA,Test,Analogy,2,-44.877,18.127,48.39972374,18.127,-44.877,290.2221687
2,pt,TTA,Test,Analogy,3,-132.481,13.881,133.2062218,13.881,-132.481,9361.5193
2,pt,TTA,Test,Analogy,4,-118.308,12.704,118.9881275,12.704,-118.308,6812.621381
2,pt,TTA,Test,Analogy,5,22.133,16.74,27.75062682,16.74,22.133,3591.397275
2,pt,TTA,Test,Analogy,6,-29.922,-9.512,31.39751946,-9.512,-29.922,207.6114465
2,pt,TTA,Test,Analogy,7,-62.855,-7.448,63.29473698,-7.448,-62.855,823.3961495
2,pt,TTA,Test,Analogy,8,-16.229,11.438,19.85467917,11.438,-16.229,467.0433747
2,pt,TTA,Test,Analogy,9,-47.341,-12.5,48.96345863,-12.5,-47.341,375.1948935
2,pt,TTA,Test,Analogy,10,-62.062,-28.319,68.21772207,-28.319,-62.062,1670.778763
2,b1,TTA,Test,Analogy,1,200,8.5,200.1805435,8.5,200,47476.59505
2,b1,TTA,Test,Analogy,2,43.1,3.448,43.23770003,3.448,43.1,3710.590214
2,b1,TTA,Test,Analogy,3,-84.969,-3.448,85.03893029,-3.448,-84.969,4544.90782
2,b1,TTA,Test,Analogy,4,-3.941,21.181,21.54451768,21.181,-3.941,545.8026969
2,b1,TTA,Test,Analogy,5,-123.39,-5.418,123.5088937,-5.418,-123.39,11208.91358
2,b1,TTA,Test,Analogy,6,-9.113,-9.113,12.88772819,-9.113,-9.113,207.5767389
2,b1,TTA,Test,Analogy,7,-111.322,-11.329,111.8969791,-11.329,-111.322,8933.249059
2,b1,TTA,Test,Analogy,8,-32.756,13.546,35.44643356,13.546,-32.756,348.2707479
2,b1,TTA,Test,Analogy,9,14.777,16.255,21.96781177,16.255,14.777,1254.195865
2,b1,TTA,Test,Analogy,10,-70.438,-9.851,71.1235126,-9.851,-70.438,2919.738065
2,b3,TTA,Test,Analogy,1,57.621,31.783,65.80530928,31.783,57.621,3527.217133
2,b3,TTA,Test,Analogy,2,47.906,-13.225,49.69794222,-13.225,47.906,1713.834819
2,b3,TTA,Test,Analogy,3,46.26,18.164,49.69827458,18.164,46.26,1820.386223
2,b3,TTA,Test,Analogy,4,-16.531,14.131,21.74762336,14.131,-16.531,852.2304166
2,b3,TTA,Test,Analogy,5,5.356,9.285,10.71904665,9.285,5.356,119.7694172
2,b3,TTA,Test,Analogy,6,-77.651,-6.477,77.92066048,-6.477,-77.651,7410.189354
2,b3,TTA,Test,Analogy,7,-5.96,-28.78,29.39064477,-28.78,-5.96,959.780468
2,b3,TTA,Test,Analogy,8,104.656,-15.501,105.7977284,-15.501,104.656,9492.329074
2,b3,TTA,Test,Analogy,9,-20.351,-19.133,27.93268498,-19.133,-20.351,1138.696749
2,b3,TTA,Test,Analogy,10,-58.572,-2.876,58.64256611,-2.876,-58.572,4470.909593
2,b6,TTA,Test,Analogy,1,-18.519,28.991,34.40103839,28.991,-18.519,724.201739
