ID,Group,Expectation,Instructions,IMI_Q1,IMI_Q2,IMI_Q3,IMI_Q4,IMI_Q5,IMI_Q6,IMI_Q7,IMI_Q8,IMI_Q9,IMI_Q10,IMI_Q11,IMI_Q12,IMI_Q13,IMI_Q14,IMI_Q15,IMI_Q16,IMI_Q17,IMI_Q18,IMI_Q19,IMI_Q20,IMI_Q21,IMI_Q22,IMI_Q23,IMI_Q24,IMI_Q25,IMI_Q26,IMI_Q27,IMI_Q28,IMI_Q29,IMI_Q30,IMI_Q31,IMI_Q32,IMI_Q33,IMI_Q34,IMI_Q35,IMI_Q36,IMI_Q37,MOVE_REINV_Q1,MOVE_REINV_Q2,MOVE_REINV_Q3,MOVE_REINV_Q4,MOVE_REINV_Q5,MOVE_REINV_Q6,MOVE_REINV_Q7,MOVE_REINV_Q8,MOVE_REINV_Q9,MOVE_REINV_Q10,RCSI2_HP_Q1,RCSI2_HP_Q2,RCSI2_HP_Q3,RCSI2_HP_Q4,RCSI2_HP_Q5,RCSI2_HP_Q6,RCSI2_HP_Q7,RCSI2_HP_Q8,RCSI2_HP_Q9,RCSI2_HP_Q10,RCSI2_HP_Q11,RCSI2_HP_Q12,RCSI2_HP_Q13,RCSI2_HP_Q14,RCSI2_HP_Q15,RCSI2_HP_Q16,RCSI2_HP_Q17,RCSI2_LP_Q1,RCSI2_LP_Q2,RCSI2_LP_Q3,RCSI2_LP_Q4,RCSI2_LP_Q5,RCSI2_LP_Q6,RCSI2_LP_Q7,RCSI2_LP_Q8,RCSI2_LP_Q9,RCSI2_LP_Q10,RCSI2_LP_Q11,RCSI2_LP_Q12,RCSI2_LP_Q13,RCSI2_LP_Q14,RCSI2_LP_Q15,RCSI2_LP_Q16,RCSI2_LP_Q17
150,TCE,Teach,Explicit,4,5,6,5,5,4,5,6,5,4,4,4,4,3,3,4,3,4,4,5,5,4,3,5,5,5,4,3,4,4,4,4,3,3,3,4,3,2,2,3,4,3,2,5,2,5,3,20,30,70,15,30,10,90,70,10,60,30,10,60,30,5,50,10,15,0,100,0,10,0,90,15,0,90,15,0,100,15,0,90,0
151,TCE,Teach,Explicit,6,6,NA,6,5,2,1,3,3,1,NA,2,5,7,7,1,5,2,5,6,5,7,4,7,2,7,2,1,5,4,4,2,5,7,1,1,7,0,0,2,1,0,3,3,0,1,0,40,35,65,35,30,20,60,40,45,50,40,30,60,30,20,60,30,60,30,50,45,30,25,70,30,40,65,25,15,75,35,15,75,20
152,TTA,Test,Analogy,7,6,6,5,6,5,1,4,2,1,2,2,6,6,2,2,6,2,6,6,5,6,5,5,2,6,2,2,4,5,5,5,5,6,4,2,6,3,4,4,4,1,3,3,2,3,2,30,30,60,30,70,30,60,20,20,70,10,0,0,0,0,80,0,5,0,80,5,5,0,80,5,0,90,10,0,0,0,0,90,0
154,TTA,Test,Analogy,6,4,6,2,7,6,1,7,2,5,1,2,7,7,4,1,7,1,5,7,7,6,7,6,1,7,1,1,6,6,5,6,5,7,6,1,7,4,0,0,1,4,0,4,0,0,1,50,50,90,60,90,75,90,70,80,85,75,40,90,60,45,85,50,80,90,80,75,80,70,85,70,70,80,70,30,90,40,40,70,55
155,TCA,Teach,Analogy,5,3,3,1,4,4,4,7,7,4,3,3,3,4,4,1,4,3,6,4,1,4,3,7,6,5,4,1,3,3,4,4,4,4,3,4,4,4,3,2,1,2,3,4,1,3,0,5,5,50,5,1,1,30,1,5,50,1,1,20,1,1,60,5,5,5,50,20,1,1,10,5,1,5,1,1,5,1,1,60,5
156,TTE,Test,Explicit,6,6,4,4,6,4,1,1,1,1,2,2,7,3,2,1,5,2,6,5,7,3,3,4,1,6,1,2,3,5,4,4,5,5,4,1,6,0,0,3,4,4,3,3,3,4,5,20,40,50,70,60,20,50,30,40,50,50,0,40,20,0,40,60,20,40,60,70,50,20,60,60,20,50,50,0,40,10,0,50,50
157,TTE,Test,Explicit,5,6,4,3,4,4,2,6,3,2,3,4,6,6,2,4,3,2,5,5,5,5,4,5,2,5,2,4,3,4,5,3,4,6,3,2,5,2,4,3,3,2,3,4,1,2,3,30,10,10,0,0,10,75,10,10,60,20,15,60,10,0,70,15,10,15,80,10,15,0,80,15,0,80,20,5,15,30,0,80,5
158,TCA,Teach,Analogy,6,6,6,2,4,3,7,7,2,3,3,3,4,5,3,2,3,3,5,4,5,5,5,7,2,5,3,3,4,4,4,3,4,6,4,3,4,3,4,2,4,1,1,2,0,0,1,15,10,60,30,50,40,60,40,30,60,40,30,40,20,10,50,10,5,30,70,40,30,10,5,12,2,30,20,0,50,2,2,35,0
159,TTE,Test,Explicit,7,7,6,6,7,2,1,2,1,1,5,1,7,7,1,2,7,1,5,7,7,7,7,4,1,7,1,5,6,5,7,2,7,7,3,1,7,2,3,4,4,2,4,4,3,3,3,45,65,45,30,25,10,35,0,0,35,25,0,45,15,0,65,0,0,35,65,0,15,0,65,0,0,65,25,0,65,0,0,65,0
160,TCE,Teach,Explicit,6,6,4,1,4,6,1,7,2,1,1,1,4,7,4,1,1,1,4,7,7,7,7,4,1,7,1,1,1,7,1,4,7,7,3,1,7,4,5,5,5,0,3,5,0,5,4,0,25,100,100,30,0,100,60,0,75,25,0,0,0,0,25,100,0,15,100,50,15,0,100,30,5,100,15,5,0,0,0,45,50
161,TCE,Teach,Explicit,7,7,7,2,4,6,4,2,2,4,3,3,4,5,5,2,4,2,4,4,5,6,4,5,3,5,4,2,4,4,5,6,6,6,4,4,5,3,4,2,2,3,3,3,2,1,1,40,60,70,30,30,30,60,40,40,60,50,30,70,20,40,60,50,30,60,60,30,40,20,50,40,30,50,50,30,50,30,40,50,20
162,TCA,Teach,Analogy,7,7,7,1,5,5,1,7,1,1,2,2,7,5,1,1,4,2,4,6,6,5,7,7,1,7,1,1,7,5,4,4,5,5,4,1,7,3,5,4,4,3,4,4,2,3,2,10,10,90,10,30,10,90,10,10,90,20,0,90,0,10,90,10,0,0,100,30,0,0,100,0,0,100,0,0,90,0,10,90,10
164,TTA,Test,Analogy,7,7,7,6,7,4,7,5,2,1,4,1,7,7,1,4,7,1,5,7,7,7,7,5,1,7,1,5,7,5,7,4,7,7,4,1,7,4,1,2,4,1,4,3,1,3,1,30,60,70,80,90,70,85,90,90,80,80,85,60,30,10,70,80,20,90,70,60,90,60,50,90,30,40,90,70,60,20,10,60,70
165,TCE,Teach,Explicit,5,5,3,2,6,3,1,2,4,2,3,4,6,6,2,1,5,4,4,5,4,6,5,4,4,5,1,1,3,5,5,4,4,6,2,1,3,1,4,5,4,2,1,3,1,4,1,30,60,70,35,35,0,60,50,10,60,30,10,70,0,10,80,15,10,60,70,15,15,10,80,10,15,80,10,10,85,0,10,75,10
166,TTE,Test,Explicit,4,5,5,4,6,5,4,4,5,6,7,6,6,5,NA,4,4,4,5,4,5,6,6,6,5,5,6,6,5,5,5,6,4,6,5,5,5,0,4,1,NA,0,0,4,1,2,1,0,0,20,0,0,0,0,0,0,0,10,0,0,10,10,0,10,10,0,20,0,0,0,10,0,0,0,10,0,0,0,0,20,0
167,TTE,Test,Explicit,7,7,7,4,6,5,2,6,1,2,3,1,7,6,2,1,6,1,6,6,7,6,7,7,1,7,1,1,5,6,5,5,6,6,4,1,7,5,1,3,3,3,1,4,4,5,4,15,60,50,15,50,5,75,10,10,75,80,5,75,5,5,80,5,20,20,75,15,20,10,90,50,60,80,20,5,75,5,15,75,10
